J       CT       CP       eta
0.306   0.0726   0.0409   0.543
0.353   0.0643   0.0395   0.574
0.402   0.0549   0.0368   0.600
0.465   0.0415   0.0313   0.619
0.513   0.0325   0.0272   0.613
0.566   0.0246   0.0237   0.588
0.615   0.0172   0.0204   0.520
0.659   0.0094   0.0167   0.370
0.719   -0.0014   0.0111   -0.094
0.768   -0.0108   0.0062   -1.330
