J       CT       CP       eta
0.150   0.0922   0.0415   0.332
0.179   0.0904   0.0419   0.387
0.199   0.0894   0.0423   0.421
0.230   0.0871   0.0426   0.470
0.256   0.0850   0.0428   0.507
0.280   0.0828   0.0429   0.540
0.308   0.0802   0.0430   0.573
0.329   0.0779   0.0429   0.597
0.359   0.0745   0.0427   0.627
0.384   0.0716   0.0425   0.648
0.407   0.0688   0.0421   0.665
0.433   0.0652   0.0415   0.680
0.456   0.0616   0.0407   0.691
0.480   0.0576   0.0397   0.696
0.502   0.0534   0.0384   0.699
