J       CT       CP       eta
0.427   0.0659   0.0416   0.677
0.454   0.0619   0.0408   0.688
0.484   0.0565   0.0393   0.696
0.508   0.0521   0.0379   0.699
0.536   0.0456   0.0353   0.693
0.553   0.0418   0.0337   0.687
0.582   0.0345   0.0302   0.665
0.602   0.0300   0.0280   0.645
0.632   0.0235   0.0249   0.597
0.652   0.0192   0.0227   0.554
0.682   0.0130   0.0193   0.459
0.707   0.0081   0.0167   0.344
0.737   0.0022   0.0134   0.121
0.764   -0.0033   0.0102   -0.244
