J       CT       CP       eta
0.216   0.0848   0.0411   0.447
0.254   0.0814   0.0411   0.503
0.291   0.0782   0.0415   0.549
0.330   0.0740   0.0414   0.590
0.367   0.0692   0.0409   0.620
0.398   0.0642   0.0400   0.639
0.436   0.0567   0.0380   0.651
0.474   0.0480   0.0349   0.653
0.514   0.0384   0.0307   0.643
0.548   0.0312   0.0272   0.628
0.576   0.0260   0.0246   0.607
0.615   0.0193   0.0214   0.555
0.651   0.0128   0.0183   0.456
0.686   0.0064   0.0150   0.294
0.723   -0.0003   0.0115   -0.016
