J       CT       CP       eta
0.516   0.0432   0.0334   0.668
0.543   0.0372   0.0307   0.658
0.577   0.0291   0.0266   0.631
0.603   0.0241   0.0242   0.600
0.643   0.0165   0.0205   0.516
0.665   0.0125   0.0185   0.448
0.696   0.0068   0.0154   0.305
0.724   0.0015   0.0126   0.083
0.757   -0.0052   0.0089   -0.446
