dbx_v3_0_m10_0										
Time	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	
0.305172413793	0.041474565302	0.244204135939	2.052623542511	23.041330066591	135.668404450014	1140.341705834409	805.802714310072	-633.359734244001	161.758103245268	
0.306034482759	0.042512270996	0.245912314972	2.050821255012	23.617830850163	136.617388884451	1139.340439134030	806.558096811066	-626.966913890600	163.540688541018	
0.306896551724	0.045722501046	0.246565360342	2.050688859952	25.401284627939	136.980190370253	1139.266886626582	807.707893236027	-621.283381816232	164.733331820174	
0.307758620690	0.045489653258	0.244946781207	2.041004070485	25.271925279920	136.080983451353	1133.886470241384	808.191132980177	-611.134299390999	164.824105710271	
0.308620689655	0.044481945769	0.242760525542	2.043249702064	24.712090096670	134.866401983609	1135.134038191300	809.621177646374	-611.635578183392	164.329998556559	
0.309482758621	0.042458602948	0.240758372804	2.047382487473	23.588015391199	133.754099498384	1137.430020609044	810.407752559795	-614.794106284829	163.513843091929	
0.310344827586	0.036233978929	0.239017806753	2.055386018866	20.129905209049	132.787122349795	1141.876408586276	811.638301904390	-623.446329114342	163.356275772830	
0.311206896552	0.031449328570	0.235750505997	2.066814654316	17.471777091986	130.971962755333	1148.225624296900	813.167161558772	-634.352752173861	161.540781166670	
0.312068965517	0.030113819532	0.234840262708	2.085670779701	16.729830689201	130.466274126107	1158.701206273720	815.512205378242	-649.862530210885	161.058532354265	
0.312931034483	0.028303045405	0.232492303789	2.104284411535	15.723849214988	129.161857888175	1169.042070166956	818.244281279732	-663.936839638699	159.858829112970	
0.313793103448	0.025680329722	0.231159785588	2.123762940031	14.266790960507	128.421573054662	1179.863430222811	820.320821874830	-680.169202209276	158.992400527258	
0.314655172414	0.021396093604	0.228482896117	2.133559187106	11.886669607591	126.934418375530	1185.305767245733	821.272230214680	-690.440048524949	157.414828011455	
0.315517241379	0.023297463101	0.226310576976	2.141869853233	12.942981635149	125.727579389024	1189.922784926708	821.423106357971	-698.880291858121	156.389806159042	
0.316379310345	0.027057410628	0.225440432056	2.148491046710	15.031832750647	125.244167540124	1193.601210564844	821.252800996035	-703.384885067888	155.423332911679	
0.317241379310	0.031161537362	0.224400766753	2.150670329659	17.311893747893	124.666578089139	1194.811918317233	821.639030533947	-702.788893751354	154.045908786279	
0.318103448276	0.032408249096	0.223526045639	2.144480969396	18.004508519109	124.180623920283	1191.373399029853	821.380259518286	-696.343078384793	153.644324558289	
0.318965517241	0.038291512981	0.225968937702	2.141011555606	21.272974964755	125.537780575630	1189.445954880116	821.767800849396	-690.829171546240	154.090621847621	
0.319827586207	0.041611558636	0.228112528364	2.128084911013	23.117437160181	126.728659361958	1182.264515302201	820.828067437171	-679.388401092889	154.903521607597	
0.320689655172	0.044050307866	0.231207469689	2.112291614994	24.472292251496	128.448064112371	1173.490498172685	819.082037277733	-667.054487956257	155.842550637831	
0.321551724138	0.044237956066	0.234048490971	2.094918788332	24.576540821241	130.026402754351	1163.838967640651	815.765975665038	-655.520792651334	156.815097370204	
0.322413793103	0.045606799699	0.241045062480	2.078119916632	25.337006367354	133.913370883080	1154.506299660570	810.961072183955	-646.787093598350	160.452216801358	
0.323275862069	0.046306445968	0.245549139163	2.064030797453	25.725697134815	136.415625378935	1146.679043534165	807.546216803647	-641.941158148554	162.304132350846	
0.324137931034	0.047451575654	0.248996568938	2.054722248876	26.361877667903	138.330856238046	1141.507649002728	806.103171437784	-638.893214850915	163.922588090080	
0.325000000000	0.049900924798	0.252539868943	2.042994405377	27.722621575874	140.299348115917	1134.992207284302	803.918648200218	-631.892793289699	165.049504349675	
0.325862068966	0.048479495170	0.256628775852	2.024100953560	26.932941708529	142.570953689434	1124.495888486160	801.129912512001	-621.698678157252	166.139952611874	
0.326724137931	0.047744605634	0.257738671162	2.011325907052	26.524671428982	143.187559649837	1117.398669719219	798.711668782539	-616.403123079958	166.448044438882	
0.327586206897	0.049407485336	0.260207056333	1.999095077045	27.448489672904	144.558879085194	1110.603792205222	796.350751184596	-609.403134794077	167.681195527409	
0.328448275862	0.046522762041	0.261191804711	1.992514285242	25.845872234693	145.105959259309	1106.947811848935	794.893095195520	-605.213397586422	168.917878040171	
0.329310344828	0.046642288341	0.256784075872	2.002265293513	25.912275460565	142.657231122067	1112.365016306876	797.341530760270	-609.088123412354	167.278763594544	
0.330172413793	0.047963285022	0.251201408796	2.011673255950	26.646159476691	139.555762214277	1117.591640532968	800.165913284538	-611.916832517034	165.203075514772	
0.331034482759	0.051569027415	0.246555986038	2.019878860141	28.649341427105	136.974982445460	1122.150290712468	802.577530031774	-613.244205313453	162.362615527148	
